혈액원,헌혈의 집,구분,주소지,전화번호
서울중앙,중앙센터(원내),원내,서울 강서구 공항대로 591 대한적십자사 서울중앙혈액원 3층,02-6711-0184
서울중앙,서울역센터,자체,서울 중구 한강대로 405 서울역사 지하1층 B05호,02-752-9020
서울중앙,대화역센터,국고,"경기 고양시 일산서구 중앙로1573, 킨텍스프라자 402호",031-919-4930
서울중앙,신촌센터,국고,서울 서대문구 신촌로 99 엘리트 빌딩 2층,02-312-1247
서울중앙,연신내센터,국고,"서울 은평구 통일로 855-8, 연신내진원와이타운 4층 401호",02-353-7750
서울중앙,홍대센터,국고,"서울 마포구 양화로 152, 대화빌딩 6층",02-323-5420
서울중앙,구로디지털단지역센터,국고,"서울 관악구 시흥대로 576, 2층",02-869-9415
서울중앙,서울대역센터,국고,"서울 관악구 관악로 152, 2층",02-873-4364
서울중앙,대방역센터,자체,서울 영등포구 여의대방로 300,02-825-6560
서울중앙,신도림테크노마트센터,자체,"서울 구로구 새말로 97, 신도림테크노마트 지하광장",02-861-0801
서울중앙,우장산역센터,자체,"서울 강서구 강서로45길 5, 2층",02-2603-5817
서울중앙,서울대학교센터,자체대학,"서울 관악구 관악로 1, 서울대학교 67동 두레문예관 103-1호",02-886-2479
서울중앙,일산센터,국고,경기 고양시 일산동구 중앙로 1261번길 55 효산캐슬빌딩 204호,031-901-5492
서울중앙,영등포센터,국고,서울 영등포구 영중로 3 ,02-2675-1361
서울중앙,목동센터,국고,"서울 양천구 목동동로 293, 현대41타워 지하1층 B-02호",02-715-3105
서울중앙,발산역센터,국고,"서울 강서구 강서로 385, 우성SB타워 507호",02-777-1291
서울남부,매봉센터(원내),원내,서울 강남구 개포로31길 48,02-570-0662
서울남부,천호센터,국고,"서울 강동구 천호대로 1033, 8층",02-485-3515
서울남부,강남센터,국고,"서울 서초구 강남대로 437, 7층",02-533-0770
서울남부,건대역센터,국고,"서울 광진구 동일로22길 115, 4층",02-498-4185
서울남부,강남2센터,자체,"서울 강남구 강남대로 378, 9층",02-564-1525
서울남부,강동센터,국고,"서울 강동구 구천면로 424, 명일메가타운 2층(201호,202호)",02-3427-5130
서울남부,이수센터,국고,"서울 동작구 동작대로 109, 경문빌딩 3층",02-578-9811
서울남부,잠실역센터,자체,서울 송파구 올림픽로 265 구내광장 7호점,02-2202-7479
서울남부,코엑스센터,국고,"서울 강남구 영동대로 513, 코엑스몰 지하 1층 R07호",02-551-0600
서울남부,노량진역센터,국고,서울 동작구 노량진로 154,02-825-2916
서울남부,고속터미널역센터,자체,"서울 서초구 신반포로 188, 고속터미널역(9호선) 지하상가 8호",02-533-2022
서울남부,판교센터,국고,경기 성남시 분당구 분당내곡로117 판교 크래프톤타워 2층 203호,031-620-1004
서울남부,하남센터,국고,경기 하남시 신장로 133,031-796-1035
서울동부,중계센터(원내),원내,서울 노원구 동일로 1329,02-2092-9356
서울동부,노원센터,국고,서울 노원구 상계로 70(화랑빌딩) 7층,02-934-5340
서울동부,돈암센터,국고,"서울 성북구 동소문로 20다길 17, 광희빌딩 4층",02-925-3566
서울동부,수유센터,국고,"서울 강북구 도봉로 325, 수성타워 4층",02-900-4772
서울동부,회기센터,국고,"서울 동대문구 회기로 188, 두리빌딩 5층",02-969-6199
서울동부,의정부센터,국고,"경기 의정부시 행복로13, 5층-6층",031-841-0322
서울동부,구리센터,국고,"경기 구리시 경춘로 239, 리맥스빌딩 7층",031-563-5322
서울동부,다산센터,국고,"경기 남양주시 다산중앙로 123번길 21-3, 다산역리더스타워 2층",031-568-9347
서울동부,한양대역센터,자체,"서울 성동구 왕십리로 206, 지하철2호선 한양대역점포 209-4호",02-2296-1076
서울동부,고려대앞센터,자체,"서울 성북구 인촌로24길 11, 2층",02-967-3852
서울동부,대학로센터,국고,서울 종로구 대명길 26 3층,02-743-1972
서울동부,광화문센터,국고,서울 종로구 종로 33 그랑서울 2층,02-732-1027
서울동부,의정부2센터,국고,경기 의정부시 시민로 80 센트럴타워 707호,031-871-0310
서울동부,노해로센터,국고,서울 노원구 노해로 480 조광빌딩 2층,02-935-0322
서울동부,망우역센터,국고,서울 중랑구 망우로 353 상봉 프레미어스엠코 C동 302호,02-762-1978
부산,전포센터(원내),원내,부산 부산진구 전포대로 168,051-810-9054
부산,남포센터,국고,부산 중구 구덕로 52 ,051-246-7505
부산,서면센터,국고,부산 부산진구 중앙대로 698,051-809-7505
부산,장전센터,국고,부산 금정구 부산대학로 47,051-582-4505
부산,동의대센터,자체대학,부산 부산진구 엄광로 176,051-892-2505
부산,하단센터,자체,부산 사하구 낙동대로 550번길 13,051-204-1691
부산,동의과학대학센터,자체대학,부산 부산진구 양지로 54,051-861-5505
부산,대연센터,국고,부산 남구 용소로 4,051-611-9505
부산,부전센터,자체,부산 부산진구 중앙대로 702번길 50,051-804-7505
부산,덕천센터,국고,부산 북구 백양대로 1200,051-335-7505
부산,해운대센터,국고,부산 해운대구 구남로 29번길 38,051-746-9505
부산,동래센터,자체,부산 동래구 온천천로 165,051-313-7505
부산,사상센터,국고,부산 사상구 사상로 200,051-245-7505
부산,서면로센터,국고,부산 부산진구 서면로 68번길 1,051-805-7505
경기,광교센터(원내),원내,경기 수원시 영통구 월드컵로82번길 20 경기혈액원,031-220-8518
경기,평촌센터,자체,경기 안양시 동안구 동안로 130,031-387-8842
경기,수원역센터,국고,"경기 수원시 팔달구 덕영대로 923-1, 4층",031-245-6518
경기,안양센터,자체,"경기 안양시 만안구 만안로 223번길 13, 3층",031-449-8309
경기,평택역센터,자체,"경기 평택시 평택로 39번길 36, 2층",031-656-8844
경기,한대앞역센터,자체,"경기 안산시 상록구 충장로 337, 공영주차장 내",031-406-5031
경기,야탑센터,국고,"경기 성남시 분당구 야탑로 69번길 24-8, 3층",031-707-3791
경기,서현센터,국고,"경기 성남시 분당구 분당로 53번길 11, 서원빌딩 4층",031-707-3795
경기,산본센터,국고,"경기 군포시 산본로 323번길 16-14, 3층",031-397-7600
경기,용인센터,국고,"경기 용인시 처인구 금령로 64, 201, 202호",031-338-1670
경기,수원시청역센터,국고,경기 수원시 팔달구 권광로 181 씨네파크 2층 204호,031-224-8550
경기,수지센터,국고,경기 용인시 수지구 풍덕천로 133 금오플라자 4층,031-272-6133
경기,동탄센터,국고,경기 화성시 동탄반석로 204 동탄제일프라자 205호,031-8003-5585
인천,연수센터(원내),원내,인천 연수구 연수동 함박뫼로 220,032-810-1383
인천,주안센터,국고,"인천 미추홀구 석바위로 68, 주안필프라자 201호",032-428-5195
인천,부평센터,국고,"인천 부평구 광장로 16, 부평민자역사 1층 ",032-504-0975
인천,부천센터,국고,"경기 부천시 원미구 부천로 4, 경동빌딩 301호",032-651-1618
인천,상동센터,국고,"경기 부천시 원미구 상동로 87, 가나베스트타운 205호",032-328-3052
인천,구월센터,국고,"인천 남동구 인하로 497-9, 신현프라자 201호",032-421-9013
인천,광명센터,자체,경기 광명시 철산로 20 야우리빌딩 3층 302호,02-2060-5473
인천,김포구래센터,국고,"경기 김포시 김포한강9로 76번길63 아스타프라자 305호, 306호",031-986-3557
인천,송도센터,국고,"인천 연수구 송도과학로16번길 33-4 송도 트리플스트리트 D동 501호, 503호",032-310-9663
인천,작전센터,자체,"인천 계양구 게양대로53, 휘림빌딩 3층",032-556-9818
인천,시흥센터,국고,"경기 시흥시 복지로 3, 유암빌딩 201호",031-404-7671
강원,봄내센터(원내),원내,강원 춘천시 퇴계공단1길 8,033-269-1043
강원,원주센터,자체,"강원 원주시 원일로 139, 생활문화센터 지하1층",033-745-6551
강원,강원대센터,국고대학,"강원 춘천시 강원대학길 1, 천지관 1층",033-253-5551
강원,춘천명동센터,국고,"강원 춘천시 시청길 10번길 4-2, 성림빌딩 3층",033-252-3085
강원,상지대센터,국고대학,"강원 원주시 상지대길 80, 상지대학교 내 창조관 3층",033-748-4012
강원,강릉센터,자체,"강원 강릉시 솔올로5번길 41, 강릉혈액공급소 2층",033-647-3460
강원,원주터미널센터,국고,"강원 원주시 서원대로 162, 2층 202호",033-734-7787
충북,가로수길센터(원내),원내,충북 청주시 흥덕구 가로수로 1000,043-230-8763
충북,성안길센터,국고,충북 청주시 상당구 북문로1가 165-2 현우빌딩 3층,043-258-1649
충북,충북대센터,국고대학,"충북 청주시 서원구 충대로1, 개신문화관 지하 1층",043-265-2655
충북,충주센터,국고,충북 충주시 성서7길 22-2,043-842-6262
충북,청대앞센터,국고,"충북 청주시 청원구 상당로 252, 2층",043-268-2656
대전세종충남,송촌센터(원내),원내,대전 대덕구 송촌남로 22,042-623-2166
대전세종충남,천안센터,국고,"충남 천안시 동남구 만남로 52, 문타워 6층",041-561-2166
대전세종충남,공주대학교센터,국고대학,"충남 공주시 공주대학로 56, 종합도서관 옆",041-858-2166
대전세종충남,충남대학교센터,국고대학,"대전 유성구 대학로 99, 한누리회관 1층",042-823-7166
대전세종충남,으능정이센터,국고,대전 중구 중앙로 164번길 이안경원 2층,042-252-2166
대전세종충남,둔산센터,국고,"대전 서구 대덕대로 199, 우남빌딩 5층",042-486-2166
대전세종충남,대전복합터미널센터,국고,대전 동구 동서대로 1688 빅플러스타워 6층,042-631-2166
대전세종충남,세종센터,자체,세종시 한누리대로265 명동프라자 4층,044-865-2166
대전세종충남,노은역센터,국고,"대전 유성구 은구비남로 33번길 36, 홍인빌딩 4층",042-826-2166
대전세종충남,천안시청센터,국고,충남 천안시 서북구 불당23로 70 정우프라자 2층,041-523-2166
대전세종충남,아산센터,국고,충남 아산시 번영로 215 우전빌딩 4층,041-534-2166
전북,장동센터(원내),원내,전북 전주시 덕진구 혁신로 463,063-270-5836
전북,전북대센터,자체대학,"전북 전주시 덕진구 백제대로 567, 제1학생회관 옆",063-275-9907
전북,덕진센터,자체,"전북 전주시 덕진구 기린대로 470, 2층",063-275-2114
전북,고사동센터,국고,"전북 전주시 완산구 전주객사5길 46, 2층",063-285-2114
전북,익산센터,국고,"전북 익산시 무왕로 884-1, 2층",063-856-2110
전북,군산대센터,자체대학,"전북 군산시 대학로 558, 학생회관 지하",063-463-7455
전북,군산센터,국고,"전북 군산시 월명로 233, 효원월드타워 2층",063-466-0609
전북,효자센터,국고,"전북 전주시 완산구 용머리로 57, 4층 402호",063-229-2116
광주전남,빛고을센터(원내),원내,광주 남구 서문대로 406,062-600-0600
광주전남,터미널센터,국고,광주 서구 무진대로 904 종합버스터미널 2층,062-363-9495
광주전남,유달센터,국고,전남 목포시 영산로 75번길 8,061-242-4245
광주전남,순천센터,국고,전남 순천시 중앙로 120,061-753-2239
광주전남,첨단센터,국고,광주 광산구 첨단중앙로 96 LC타워 2층(201호),062-944-9494
광주전남,충장로센터,국고,광주 동구 중앙로 172,062-232-9494
광주전남,여수센터,자체,"전남 여수시 망마로 11, 4층",061-663-2413
광주전남,전대용봉센터,국고,광주 북구 우치로 100번길 9-4,062-529-9494
광주전남,광주송정역센터,국고,"광주 광산구 상무대로 205번길 6, 4층",062-228-9494
대구경북,태평로센터(원내),원내,대구 중구 태평로 7,053-605-5642
대구경북,포항센터,국고,"경북 포항시 북구 상원동 462-5, 5층",054-244-8891
대구경북,안동센터,자체,"경북 안동시 문화광장길 18, 2층",054-858-3780
대구경북,2.28기념중앙공원센터,자체,"대구 중구 동성로 2길 80, 2.28공원관리사무소 내 ",053-253-2280
대구경북,대구대센터,국고대학,"경북 경산시 진량읍 대구대로201, 대구대학교 경산캠퍼스 내 제1학생회관 옆",053-851-3124
대구경북,대구보건대센터,자체대학,"대구 북구 영송로 15, 대구보건대학교 문화관 1층",053-326-9064
대구경북,동성로센터,국고,"대구 중구 국채보상로 598, 2층",053-252-2285
대구경북,중앙로센터,국고,"대구 중구 중앙대로 390, 센트롤엠 201호",053-252-2315
대구경북,경북대북문센터,자체,"대구 북구 대학로 83, 4층",053-421-6235
대구경북,구미센터,국고,"경북 구미시 문화로 25-1, 3층",054-458-9790
